F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,Label
0.80624,0.99727,0.62064,0.45899,0.54751,2.2029,2.5451,2.5415,3.6574,4.0396,3.3737,1.6396,1.276,0.89297,1.4069,1.607,0.73848,0.53233,0.59896,0.2552,0.42418,1.0203,0.78184,0.72569,0.73494,0.80751,0.3125,0.60096,0.78812,0.41841,0.31531,0.58317,0.57514,0.27441,1.0233,0.45558,0.77006,0.30165,0.21663,0.13844,1.0594,0.56961,0.3227,0.69334,0.71885,0.34548,0.86156,0.13229,0.20151,0.26214,0.035036,1,Corona
0.77208,0.91339,0.88102,0.94697,0.67736,2.8824,2.318,2.7222,2.5726,4.0813,3.825,1.0221,2.6036,2.1616,1.223,3.2483,1.2157,1.1853,1.321,0.94081,0.7113,1.1371,0.54949,0.80221,0.81478,0.64564,0.69091,0.52914,0.63018,0.086161,0.42722,0.95225,0.69337,0.48342,0.27695,0.83419,0.51658,0.82861,0.3593,0.72128,0.74244,0.5687,0.90579,0.24687,0.67134,0.43316,0.93696,0.8174,0.71799,0.46874,0.97501,1,Corona
0.49803,0.10073,0.45176,0.33218,0.94182,1.4862,1.0337,1.4583,2.0623,4.6969,4.2577,1.839,2.3511,2.9765,0.055161,1.8734,1.1803,1.2342,0.60825,0.8379,1.0636,0.97752,1.4904,1.0502,0.40032,0.71294,0.24725,0.13598,0.23322,0.29921,0.73178,0.37737,0.3201,0.12064,0.21774,0.37241,0.1642,0.50801,0.17361,0.30877,0.37147,0.25085,0.74138,0.29556,0.39616,0.34996,0.51421,0.098442,0.19704,0.15121,0.18455,1,Corona
1.944,0.96444,0.49147,0.20126,1.1001,2.798,3.3865,3.69,5.0164,6.0037,5.2299,2.4365,1.3184,1.3208,0.93731,0.13424,0.44354,0.49565,0.54405,1.0408,0.35397,0.71986,1.2558,1.0663,0.44303,0.22769,0.96967,0.57788,0.33471,0.47112,0.30659,0.41517,0.83818,0.46172,0.49194,0.89409,0.98214,0.32652,0.39622,0.23847,0.03544,0.89556,0.62466,0.54053,0.4419,0.43067,0.84008,0.58791,0.64308,0.55689,0.79437,1,Corona
0.20181,0.023103,0.24093,0.748,1.2379,4.3908,1.6327,2.5849,4.1048,6.7016,6.7218,3.5503,2.8355,2.9838,1.1681,2.3173,0.60292,1.0088,0.32472,0.96344,0.79504,0.33641,0.67666,1.0956,0.45833,0.69428,0.97181,0.63649,0.31775,0.46739,0.73787,0.41878,0.18023,0.14132,0.46822,0.40953,0.71662,0.60073,0.39022,0.43706,0.75726,0.85807,0.47532,0.34403,1.4994,0.28996,0.72062,0.47522,0.66532,0.36779,0.72948,1,Corona
1.9291,0.99829,0.70161,1.0697,0.41967,3.2505,2.1742,2.1916,4.9411,4.9322,5.4124,2.7181,0.037507,1.8841,0.69251,0.68438,0.52642,0.33266,0.74985,0.093213,0.87436,0.21944,1.0683,0.80137,0.015703,0.2971,0.49788,0.61223,0.58334,0.53359,0.22637,0.60368,0.15914,0.34564,0.73118,0.32205,0.5599,0.37886,0.62355,0.64573,0.60648,0.21409,0.38481,1.0125,1.1338,0.65713,0.60105,0.69256,0.81797,0.25929,0.51037,1,Corona
1.3276,0.63967,0.33849,0.20266,3.8726,2.5632,3.9547,3.3898,1.3752,0.95591,0.65008,1.0158,1.1519,0.95242,0.49119,0.48426,0.065251,0.25239,0.49657,0.84291,0.28312,0.5286,0.60511,0.21836,0.35315,0.96701,0.79245,0.42654,0.11756,0.50807,0.4662,0.46853,0.74325,0.18386,0.086245,0.21329,0.44942,0.31283,0.18363,0.37749,0.31279,0.38512,0.15193,0.49899,0.59694,0.26025,0.59181,0.1798,0.29359,0.27648,0.21741,1,Corona
1.0898,0.65302,0.40098,0.44366,2.9662,2.0553,2.3756,3.4234,1.7097,0.89137,0.94581,0.27524,0.78073,1.3704,0.53751,0.89377,0.62246,0.17178,0.68462,0.90235,1.0376,0.11686,0.29796,0.25448,0.41835,0.27086,0.36509,0.52449,0.10317,0.35515,0.4703,0.48274,0.39259,0.50782,0.54738,0.60927,0.71589,0.52555,0.51318,0.42973,0.58752,0.60315,0.21147,1.0619,0.27081,0.16735,0.13753,0.99599,0.62769,0.32892,0.19186,1,Corona
1.3238,0.77488,0.12871,0.26624,1.284,2.9167,2.3703,3.1858,4.2502,4.4795,5.1204,1.2826,0.89406,0.35894,0.50971,1.8165,0.77343,0.91128,0.32479,0.23228,0.70389,1.1462,1.3909,1.5549,0.66651,0.37196,0.46285,0.80249,1.0072,0.91286,0.36835,0.55215,0.76931,0.91213,0.77611,0.31584,0.45814,0.95675,0.49506,0.72544,1.0469,0.32096,0.84067,0.84432,0.45088,0.31848,0.11447,0.34417,0.23945,0.25949,0.89858,1,Corona
0.10971,0.24502,0.078583,0.19662,0.58347,4.1857,1.9172,2.4548,4.2296,7.3785,6.717,2.7049,2.9296,2.3632,1.0451,1.2319,0.66545,0.49997,0.41732,1.254,0.65438,0.94403,0.55407,0.42714,0.34229,0.3609,0.12709,1.0568,1.0282,0.42293,0.30625,0.61549,1.1124,0.26157,1.179,0.92859,1.2418,0.33966,0.12005,1.008,0.93976,0.61703,0.96571,0.88625,0.54529,0.91356,0.18064,0.95594,0.29339,0.13918,0.19703,1,Corona
1.5959,1.0214,0.18456,0.7216,0.73666,5.9311,2.7367,4.2408,6.0697,5.484,5.299,2.6225,1.4487,1.9805,0.56868,1.4729,0.7744,0.75784,0.71734,0.69218,0.75102,0.93367,1.3115,0.54172,1.4702,1.4206,0.38485,1.3297,0.72603,0.32739,0.22862,0.73115,0.88748,0.35902,1.0002,0.88037,0.14562,0.50275,0.60476,0.26378,0.33779,0.94279,0.8559,0.54202,1.0436,0.82631,0.76433,0.45875,0.50064,0.77154,0.35248,1,Corona
0.86608,0.11765,0.98562,0.77219,0.32129,2.196,3.6181,3.643,5.0462,4.2671,1.1519,1.4285,0.032711,0.43519,0.41224,0.66885,0.12141,0.67549,0.38378,0.8964,0.42733,0.44357,0.21817,0.65206,0.58652,0.55659,0.7065,0.74329,0.087002,0.65836,0.11764,0.67578,0.79223,0.60133,0.4745,0.37298,0.33659,0.43983,0.47748,0.73074,0.5139,0.16428,0.48614,0.21117,0.601,0.13495,0.071483,0.22191,0.48366,0.53191,0.68019,1,Corona
0.036023,0.45731,0.33303,0.70508,0.68711,2.3847,2.5577,3.8788,4.6221,4.007,4.6121,1.3066,1.0248,1.1037,1.6893,1.4051,0.40033,0.26397,0.58157,0.17479,0.74076,0.71287,1.3623,1.748,0.3225,0.97149,0.7952,0.31502,0.60407,0.87432,0.33025,0.71649,0.91915,0.41975,0.40526,0.62273,0.35339,1.0822,0.21038,0.49108,0.63346,0.82435,0.70974,0.80011,0.48869,0.72472,0.45602,0.47755,1.0182,1.1084,0.86763,1,Corona
2.136,0.61533,1.1775,0.65972,0.61094,4.1479,3.3912,4.4164,6.8818,5.8642,5.9112,2.4705,0.54434,0.9119,0.36634,0.90702,0.30145,0.98129,0.58862,0.79488,0.87278,1.5964,0.84559,1.024,1.1454,0.28558,0.44754,0.69964,0.90184,0.60398,1.3382,0.16966,0.35586,0.67684,0.41749,0.72451,0.087818,1.2575,0.44823,0.27317,0.63592,0.8547,0.68359,1.2304,0.95797,0.41715,0.41286,0.20985,0.47015,0.53502,0.6884,1,Corona
0.66639,0.15919,0.23933,0.80797,0.25928,3.6399,2.9842,3.9237,5.0491,3.5449,3.4082,2.0234,0.45303,0.80897,0.71049,1.6376,0.77698,0.2772,0.32908,0.69352,1.5175,1.0418,1.067,2.2736,0.52303,0.28848,0.82742,1.232,0.30016,1.3077,1.1021,0.28662,0.3611,1.1594,0.78702,0.32774,0.64562,0.93478,0.63709,0.29117,0.18386,0.54379,0.089447,0.51368,0.35581,1.0157,1.1737,1.1846,0.44871,0.36386,0.48288,1,Corona
1.4626,0.47641,1.0541,1.0543,0.70582,3.8379,2.9686,2.91,3.5621,6.1327,5.7719,2.8783,2.4904,3.5718,1.6154,2.557,0.16879,0.83942,1.3177,0.78952,0.27515,0.49472,0.59195,0.48468,0.26191,1.0244,1.0047,0.2192,0.61244,0.45395,0.84209,0.56761,0.33487,0.35943,0.6747,0.66058,0.5591,0.77228,0.49492,0.48562,0.84583,0.61156,0.43755,0.88965,0.64998,1.1198,0.38272,0.67229,0.39715,0.8439,0.86834,1,Corona
1.1084,1.0941,1.1438,0.53989,3.5826,4.1824,9.5509,5.9303,1.4761,0.75847,0.50666,0.19519,0.47454,0.50226,1.0289,0.74475,0.85107,0.57928,0.55558,0.68423,0.8344,0.71998,0.17117,0.42302,0.30045,0.65858,0.71993,0.56892,0.36428,0.5503,0.43871,0.23261,0.14244,0.3398,1.3587,0.6227,0.2458,0.13611,0.72958,0.52319,0.7298,0.16546,0.51891,0.47728,0.30259,0.2644,0.94314,0.58212,0.45257,0.28677,0.84908,1,Corona
0.76832,0.88889,0.27225,0.29046,1.2969,4.686,3.5653,5.4007,6.2406,5.3926,4.4371,2.8276,1.0916,0.78913,1.5103,0.99822,0.12612,0.74751,0.78945,1.372,0.58043,0.621,2.0163,1.7772,0.17245,0.1652,0.7746,0.27856,1.3246,0.80488,0.60488,0.60323,0.43392,0.20225,0.29921,0.13684,0.93469,0.23871,0.056554,0.68842,0.43724,0.62621,0.53061,0.87787,0.80855,0.76876,0.7543,0.94756,0.35802,0.25842,0.28738,1,Corona
2.0694,1.2102,0.1953,0.66785,1.3516,3.5012,3.1175,4.3248,5.3308,6.1124,5.7239,1.6333,0.52988,1.1202,0.43948,1.144,0.88572,0.80825,1.0302,0.29421,0.73074,1.4134,2.036,1.7557,0.71612,0.88268,1.3851,0.57933,0.59536,0.43856,1.7397,0.34015,1.3078,0.86675,0.11118,0.81233,0.51461,0.21537,1.5199,0.53955,0.43139,0.55055,0.63409,0.43044,0.4125,0.57112,0.37855,0.77458,0.31212,0.32821,0.72743,1,Corona
2.3311,1.6227,0.4891,0.19457,1.5476,3.5873,1.6729,2.8847,4.6832,5.4282,6.0804,2.1386,1.2091,0.52776,0.88369,0.63309,0.60488,0.25588,0.74578,0.82413,0.24135,0.79581,1.8,1.7957,0.72167,0.93433,1.0209,0.29285,1.3123,0.60907,1.5606,0.71971,1.4828,0.89963,0.73959,0.60387,0.24707,0.831,0.74621,0.93209,0.39723,0.53133,0.30491,0.4187,0.23369,0.29187,0.48083,0.83687,0.81626,0.52212,1.4184,1,Corona
