F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,Label
7.9596,8.0705,7.0992,2.2662,4.0582,4.8705,2.4469,8.0632,2.0179,3.3235,13.751,24.147,2.9372,8.8266,3.4216,4.2914,6.5648,9.9294,3.7769,4.2484,14.995,18.235,11.981,20.367,14.113,9.0827,7.4556,7.5153,3.3772,8.4361,1,Corona
11.081,22.103,4.4048,13.553,14.305,10.462,6.3486,8.1443,3.7309,4.0023,6.3296,13.652,2.5331,8.4284,3.9201,10.796,2.8895,5.9845,3.7682,13.521,10.261,8.5592,19.463,5.4498,12.63,4.306,5.103,13.225,5.8292,6.5764,1,Corona
14.399,21.397,7.7264,12.255,8.2172,3.5845,15.63,13.854,9.0806,9.3974,9.3972,5.597,6.3155,3.2836,7.5411,16.727,8.7946,7.0058,12.801,4.4681,8.9357,14.452,18.5,3.8503,8.3841,7.1912,5.0349,10.892,11.459,7.9944,1,Corona
9.5338,17.494,16.111,16.169,10.356,13.277,13.411,6.4341,10.449,15.2,18.18,9.0743,8.8677,7.6966,2.8454,10.17,3.7084,18.068,11.452,12.328,3.1592,5.7514,6.0569,7.8601,16.974,8.4619,1.4078,12.19,8.3352,1.092,1,Corona
17.336,27.426,10.151,5.7888,12.131,19.057,23.974,10.169,8.3709,4.406,14.004,12.202,18.438,6.2652,16.191,3.4647,9.4836,14.288,7.1521,6.7961,8.4888,9.7778,8.1152,26.536,7.2586,13.793,6.9972,8.4162,10.309,13.087,1,Corona
9.644,23.747,18.42,11.884,4.0977,11.837,11.865,3.9623,7.3561,15.928,12.526,7.8516,8.7666,4.4553,7.8655,1.1024,12.642,4.7151,8.0151,6.6525,1.8991,3.6471,10.579,15.866,6.5998,1.8401,15.006,1.8638,6.2878,15.657,1,Corona
9.1473,8.0744,6.9338,3.357,11.653,13.877,2.5378,27.487,22.111,14.481,9.7508,4.7225,5.3861,11.699,21.551,10.769,17.562,12.062,11.363,7.6152,10.138,16.332,4.3499,20.677,6.155,22.661,12.679,11.608,7.6666,2.6825,1,Corona
2.9324,10.93,13.119,14.27,8.8499,7.4248,5.0918,10.189,9.3904,6.0864,5.9645,11.98,7.6837,2.7777,4.6496,7.6093,7.744,13.3,18.084,4.1414,18.208,6.7921,2.512,9.0559,1.9738,10.802,10.385,4.9707,7.4112,4.566,1,Corona
22.832,23.157,8.7455,18.505,16.996,3.0175,14.329,10.605,10.181,5.1255,5.8859,3.5243,9.9788,11.486,19.871,3.1133,9.1366,11.576,7.2833,8.1092,3.7992,9.1684,5.666,7.4534,4.505,20.206,2.8733,8.2038,6.9863,2.5637,1,Corona
0.89405,10.077,6.2137,2.4973,12.448,8.7178,20.859,7.5221,15.567,14.732,7.5258,6.9272,11.87,10.282,4.1625,17.075,14.584,2.7304,4.6597,8.1066,2.2992,18.44,16.974,7.6953,14.979,13.023,5.2506,14.055,7.1664,14.396,1,Corona
10.205,5.8514,2.5247,16.845,13.121,3.8664,16.42,16.213,11.933,4.8001,19.445,12.377,9.044,20.157,17.201,1.0519,3.7801,3.5346,11.028,5.3163,15.594,7.3903,4.8762,10.613,11.799,29.224,10.598,10.985,6.427,14.675,1,Corona
