F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Label
7.9835,13.776,50.996,13.316,9.2699,28.472,22.787,4.8335,25.339,21.755,11.699,27.449,16.495,8.7731,3.0786,11.251,28.734,26.799,25.122,6.7999,36.079,16.258,34.028,8.5113,5.8068,25.692,12.077,37.837,5.4325,13.997,6.517,8.2036,15.295,3.975,28.862,1,Corona
2.992,16.196,6.9508,13.69,13.193,11.384,1.8604,14.56,13.027,5.2757,15.595,16.352,8.7396,11.756,10.319,16.35,3.5523,4.284,21.233,21.511,9.8828,7.0013,8.6136,15.201,20.083,2.2937,13.97,3.1018,7.1204,16.859,13.365,22.937,11.874,10.13,10.415,1,Corona
22.992,24.112,10.127,9.8573,15.237,9.8035,21.218,28.042,23.567,14.088,18.28,6.8706,23.618,18.738,7.7841,40.04,16.148,15.152,14.06,15.125,30.103,20.185,42.474,7.0276,18.388,12.527,13.033,21.13,18.512,18.167,11.052,22.533,23.701,15.287,18.594,1,Corona
13.309,26.116,18.469,16.508,30.025,16.486,18.154,47.197,8.128,25.895,21.942,11.171,14.967,11.318,38.492,18.639,20.99,17.315,23.204,14.812,41.579,26.257,21.619,15.834,17.881,14.528,9.8208,19.81,26.084,23.552,9.8147,13.368,32.375,11.276,21.05,1,Corona
31.843,29.439,30.378,13.259,13.809,20.147,1.805,14.915,7.5201,23.159,16.926,9.1694,30.887,10.297,7.466,15.754,19.802,31.358,20.996,17.61,16.014,18.176,16.19,30.079,13.759,12.23,39.103,42.254,3.684,27.865,8.5788,22.35,20.675,32.809,17.501,1,Corona
8.0752,14.386,4.9409,5.632,25.704,29.599,21.657,12.747,30.852,17.268,26.907,34.034,25.192,8.1951,21.834,13.354,15.774,23.015,24.732,15.5,26.06,10.159,9.0344,3.4771,24.761,18.367,9.7515,27.393,17.132,27.107,33.436,16.903,6.7351,13.69,22.612,1,Corona
4.7944,7.869,7.4953,10.063,13.147,7.5269,27.346,5.2586,16.147,5.1694,17.014,18.384,15.713,1.6355,16.004,12.349,12.484,4.5627,17.562,13.724,14.118,11.16,12.518,10.748,22.61,15.797,15.38,21.596,20.007,12.125,7.3268,16.702,22.799,20.6,16.711,1,Corona
38.749,10.048,30.784,17.675,23.028,10.923,4.6888,35.6,3.2197,5.1974,19.954,7.3128,25.606,11.419,25.377,11.607,33.805,30.001,20.076,15.333,4.5224,18.812,32.378,27.939,15.385,53.412,25.916,8.4294,25.546,14.615,24.491,36.814,27.321,26.48,18.516,1,Corona
1.2144,21.924,2.9141,38.78,34.116,7.137,17.356,40.495,23.546,9.8134,22.274,31.984,24.898,25.251,31.215,34.04,15.671,43.272,40.987,23.861,18.788,27.327,10.479,20.806,28.352,21.411,40.238,15.582,8.8523,26.243,28.393,12.816,9.5207,30.662,32.847,1,Corona
37.877,11.846,16.406,20.34,20.112,30.616,32.431,28.761,20.192,29.178,24.2,31.374,13.217,26.871,18.838,8.7428,30.377,53.477,19.528,27.181,32.579,21.868,40.172,9.9687,27.727,38.031,30.855,32.909,19.005,10.501,28.37,12.667,17.133,17.745,20.272,1,Corona
21.552,28.458,3.7869,21.167,1.4161,27.511,15.536,27.166,36.605,9.5461,23.255,30.684,20.548,45.409,18.028,41.052,14.47,14.635,19.51,24.124,35.257,6.8476,38.003,17.874,13.409,42.87,11.34,13.246,17.936,36.42,39.553,20.629,26.415,22.404,25.874,1,Corona
26.833,42.966,19.513,20.627,28.581,30.143,47.843,26.979,11.084,23.171,20.728,22.139,13.813,12.165,22.259,24.582,11.45,14.051,25.814,9.1176,17.408,27.678,17.479,26.244,8.9004,15.738,15.648,7.8731,18.131,6.5587,15.052,17.834,25.369,32.586,48.689,1,Corona
