F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Label
1.4843,1.717,1.5461,1.5285,1.3185,1.9597,0.17634,1.4584,1.7423,1.3378,6.2484,3.2833,3.513,3.6312,4.0074,2.6672,1.5326,2.2688,0.75087,1.7153,5.091,4.1732,4.5766,1.8137,1.3341,1.9466,0.59233,0.90997,1.2353,0.62454,0.94419,1.8696,1.5938,1.212,0.47422,1.1095,0.62029,1.0491,1.1868,0.98078,3.0491,1.0231,2.3924,2.0084,0.75553,1.0803,1.8959,1.9791,1.2235,1,Corona
2.4656,2.8657,1.2555,1.7931,2.7257,2.0854,4.2288,3.6957,9.3068,4.3244,5.0335,5.174,7.0517,6.4218,4.0838,1.4632,0.26292,3.6933,0.6879,3.2091,1.0832,1.6967,1.2023,2.7753,1.4577,1.9122,4.1822,1.7672,1.5293,1.5218,4.0726,0.61035,0.87938,0.95492,1.2743,1.5353,2.8882,1.2774,0.71112,2.9222,3.0056,2.1296,3.8671,2.9402,4.3815,0.90052,2.7676,0.61366,1.6298,1,Corona
2.5518,1.3174,1.8788,1.4319,4.2908,2.5759,4.1928,2.9896,3.8534,3.3607,3.2938,4.6646,5.6567,5.1585,4.5224,1.1364,1.489,1.5665,2.9354,3.0617,2.2241,2.2748,3.1818,2.0225,4.793,0.49794,0.62586,1.3404,3.4873,1.9655,2.7029,1.8678,2.4614,0.44479,2.5635,5.3261,3.3543,1.6604,2.6546,3.4897,0.40399,0.78362,3.402,1.9005,1.4586,0.37409,3.4298,2.6573,1.8572,1,Corona
1.217,1.3174,1.5944,4.0368,1.279,4.5597,3.2656,4.4943,2.3715,2.8106,4.7102,5.8101,4.8129,3.3565,4.0682,3.7719,0.8147,3.0004,2.4122,0.60685,2.4519,3.8678,3.1597,3.1964,1.0461,1.6043,1.3103,1.6438,3.2914,0.99906,1.9098,1.2854,1.6406,3.8043,1.3309,1.2504,2.9707,2.0316,1.3326,1.75,2.1159,4.4874,3.924,2.9398,1.891,1.9789,1.7402,3.0846,1.3492,1,Corona
1.0761,0.82918,1.5888,1.5515,3.0802,6.4743,6.899,3.786,2.215,1.7295,2.0654,1.3067,0.59728,0.82919,1.082,0.23616,0.22824,0.65309,1.4803,2.3288,1.6543,1.4842,2.9442,1.0578,1.0539,2.3939,1.3773,1.1389,0.39859,1.3706,1.0495,2.0692,0.97972,2.0046,1.7672,0.73579,1.4105,2.041,0.55988,2.1766,0.50967,1.2735,0.96207,0.81112,1.6647,0.99947,2.6035,0.98974,2.6318,1,Corona
2.5352,2.6282,1.3585,1.7084,0.89947,2.5058,4.8452,1.8278,1.2688,1.7266,3.2945,1.031,1.1503,1.0556,1.7843,1.6513,1.193,0.87206,0.72506,0.66063,1.0278,0.85842,1.2303,1.0931,2.9871,1.3007,1.1965,2.5555,1.0049,1.337,0.57229,0.68514,2.3023,1.5791,1.9914,3.0574,0.55515,2.2931,1.4748,1.3551,1.6531,2.4689,1.4116,0.39822,1.331,0.58577,1.8006,2.4179,1.5409,1,Corona
3.2846,2.3447,3.0395,1.6459,3.4812,2.4771,3.6297,5.2543,3.2843,3.0269,4.8149,5.1358,3.4633,3.3718,2.0348,2.0292,1.3964,1.3995,3.5227,3.1124,0.37299,1.6028,0.94011,2.5,1.6974,2.3047,0.74812,1.9537,2.8919,0.56849,2.6547,2.0737,3.6168,2.4422,0.61731,1.3666,1.9098,1.2843,2.0784,1.6641,0.37566,2.6406,0.5619,0.79551,1.6931,0.54582,3.1047,2.226,1.852,1,Corona
5.379,3.1361,2.8501,0.60763,3.0137,5.4195,6.7985,3.0274,7.025,3.4591,3.5547,3.8669,4.4502,5.977,6.5274,4.8322,1.6384,0.50143,2.8088,2.533,2.8857,3.2019,1.9701,2.0184,2.8259,2.2041,1.0119,0.609,0.9383,2.5957,1.7732,1.6671,0.70626,2.8813,2.5099,1.9431,1.2529,0.84319,1.0882,0.56604,1.7359,0.80921,0.33871,0.85502,1.3684,1.8166,2.0567,1.16,0.52703,1,Corona
0.32222,1.0134,1.2239,1.1137,5.2203,3.2097,7.0967,7.1473,5.8427,4.9085,3.7867,4.4928,5.631,4.6188,3.1888,2.7873,2.2676,1.6917,1.6408,2.45,1.9831,2.1229,2.6362,3.0097,1.9459,2.1314,1.559,1.4957,2.3951,0.95026,3.0895,1.292,2.5705,0.29088,0.3491,0.33439,0.73204,1.124,4.909,4.256,3.3902,1.2003,3.0209,1.4273,2.3336,2.9494,1.7112,3.1832,2.3431,1,Corona
1.1787,1.6459,0.66211,0.746,1.3594,3.9292,2.4264,3.4257,6.1758,2.9098,1.727,1.0741,1.8956,1.2503,1.5967,1.0351,1.8243,1.0983,1.3202,1.2263,2.5431,0.97673,2.1181,0.36869,1.4826,1.3677,0.34491,2.6621,2.755,1.3446,1.3284,1.6514,0.40223,0.44395,0.47451,1.3123,1.1502,1.8403,2.1969,1.9263,0.31045,0.57241,0.75028,1.951,1.0568,1.4438,1.2824,0.44916,0.51136,1,Corona
