F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,Label
0.66573,0.21957,0.35169,1.2471,3.1199,2.263,0.33832,2.7902,2.0843,0.55451,0.5644,0.44784,0.54038,0.61484,0.24914,0.21101,0.19999,0.24974,0.10998,0.07726,0.09309,0.30117,0.31955,0.16613,0.25325,0.062454,0.13965,0.39247,0.21001,0.14363,0.43121,0.14222,0.16704,0.26448,0.33656,0.38192,0.20725,0.31339,0.21205,0.19531,0.13768,0.27534,0.33723,0.30624,0.27194,0.17455,0.23752,0.15462,1,Corona
0.55779,0.28837,0.16986,0.46485,0.97547,1.3033,1.9105,2.2607,0.9219,1.1708,0.8607,0.64955,0.75538,0.48429,0.081203,0.24358,0.092565,0.26472,0.29783,0.069634,0.083025,0.16056,0.26776,0.062765,0.25234,0.1439,0.06934,0.12886,0.020578,0.064452,0.062478,0.12224,0.085636,0.14346,0.133,0.20142,0.21572,0.068651,0.077068,0.098084,0.26768,0.18291,0.18935,0.20961,0.20138,0.23134,0.23659,0.12715,1,Corona
1.0358,0.67645,0.066229,1.9317,3.3446,3.6705,1.8397,0.92283,0.79357,0.056953,0.22254,0.24773,0.59721,0.86669,0.34569,0.26669,0.054974,0.17795,0.22382,0.18534,0.10292,0.31736,0.25148,0.38051,0.048208,0.26368,0.16801,0.28271,0.1607,0.16363,0.043176,0.18701,0.15872,0.3483,0.18603,0.13504,0.040401,0.13377,0.15976,0.18506,0.30327,0.28648,0.047101,0.26861,0.22047,0.1222,0.13223,0.1238,1,Corona
0.4596,0.30968,0.17449,1.8178,3.8902,2.6778,3.2686,2.6658,1.0716,0.46023,0.65054,0.68513,0.39059,0.41828,0.22768,0.22763,0.25116,0.24969,0.17752,0.28676,0.12064,0.060459,0.061175,0.064705,0.25789,0.16842,0.14685,0.18714,0.12718,0.23162,0.2583,0.0097354,0.23725,0.21179,0.38101,0.36995,0.08967,0.17244,0.089018,0.14962,0.21251,0.24445,0.35745,0.17391,0.036327,0.17891,0.33596,0.17441,1,Corona
0.75535,0.28036,0.40372,1.9876,3.129,3.2509,1.7245,0.60273,0.66065,0.38239,0.45932,0.1622,0.59812,0.85223,0.54222,0.53906,0.15383,0.20752,0.47486,0.26344,0.27191,0.11564,0.16799,0.048386,0.1796,0.073384,0.18665,0.10083,0.31867,0.25061,0.3869,0.066622,0.086389,0.04584,0.24343,0.22386,0.16898,0.14716,0.11079,0.098637,0.090159,0.15611,0.13681,0.20223,0.24453,0.19049,0.046254,0.21595,1,Corona
0.94841,0.30694,0.25284,3.1751,2.6181,3.632,0.59473,0.79324,0.27866,0.1471,0.25327,0.082775,0.17738,0.10001,0.020743,0.044396,0.18859,0.19659,0.076999,0.13915,0.08737,0.20422,0.057945,0.12967,0.14935,0.048756,0.03292,0.16535,0.10436,0.25754,0.088389,0.20808,0.169,0.1156,0.1468,0.12442,0.08741,0.23955,0.052895,0.062915,0.11688,0.034451,0.20908,0.11555,0.134,0.081984,0.15039,0.075678,1,Corona
1.162,0.54049,0.33076,0.75484,1.5097,3.9966,0.35829,0.35875,0.18728,0.22861,0.26012,0.19333,0.29335,0.1597,0.10489,0.099295,0.10182,0.32337,0.15626,0.25558,0.10799,0.21964,0.28201,0.095959,0.17719,0.19552,0.29671,0.15639,0.031993,0.092424,0.017362,0.16643,0.090549,0.17444,0.29645,0.1635,0.039121,0.12521,0.093586,0.31279,0.13579,0.14584,0.14436,0.15238,0.19367,0.32911,0.20882,0.096545,1,Corona
0.62393,0.63866,0.24607,1.9258,3.1361,2.6734,1.4828,0.70243,0.70941,0.36126,0.33794,0.50373,0.42444,0.72516,0.28272,0.24957,0.066264,0.23789,0.23386,0.039499,0.30033,0.021188,0.16667,0.27394,0.11467,0.31663,0.22528,0.2163,0.2713,0.15831,0.20187,0.11694,0.11398,0.061085,0.25213,0.24457,0.16314,0.12061,0.10384,0.16498,0.29101,0.35671,0.18373,0.016761,0.15922,0.1974,0.19499,0.29372,1,Corona
0.58915,0.19947,0.27413,1.9047,4.452,3.2864,2.5491,2.6656,1.1826,0.18651,0.32879,0.58164,0.34678,0.34059,0.24716,0.17729,0.26363,0.088833,0.23964,0.36917,0.15311,0.25857,0.406,0.27353,0.25722,0.18915,0.11642,0.15941,0.10571,0.11346,0.051353,0.088402,0.29793,0.30346,0.1327,0.091657,0.064727,0.17658,0.0074252,0.19362,0.10288,0.12179,0.1979,0.082025,0.32512,0.29695,0.24419,0.073375,1,Corona
1.1052,0.56362,0.17036,2.356,4.9931,4.4893,1.7313,1.4366,0.37037,0.25753,0.34174,0.40352,0.5427,1.1309,0.38147,0.2424,0.07,0.16719,0.42605,0.031628,0.034355,0.31047,0.20835,0.12211,0.17662,0.11558,0.34354,0.15693,0.079484,0.15459,0.097217,0.19921,0.18838,0.17472,0.049523,0.059973,0.35802,0.37829,0.2201,0.17644,0.073814,0.18806,0.47008,0.10387,0.18431,0.053363,0.047809,0.20863,1,Corona
0.77116,0.30654,0.27744,2.5977,1.8295,3.317,0.84967,0.20547,0.58804,0.070208,0.53665,0.67922,0.17185,0.23545,0.31158,0.12905,0.042564,0.17783,0.076995,0.048032,0.091185,0.15063,0.21516,0.052001,0.14514,0.053574,0.098564,0.21577,0.12964,0.15759,0.22393,0.2746,0.073797,0.036094,0.31855,0.067905,0.16424,0.19176,0.11181,0.056439,0.099119,0.2048,0.12994,0.057275,0.14006,0.011149,0.17239,0.074131,1,Corona
0.84428,0.73029,0.40859,1.6353,2.7727,3.1843,2.1152,0.33641,0.4654,0.45855,0.35983,0.28522,0.33291,0.52356,0.42295,0.24853,0.18358,0.22045,0.25104,0.18609,0.24773,0.37574,0.22366,0.026194,0.26306,0.21487,0.26159,0.11489,0.14482,0.15051,0.37292,0.36224,0.37104,0.52251,0.112,0.096731,0.38692,0.14628,0.11006,0.16651,0.063926,0.24185,0.48662,0.10985,0.043912,0.1561,0.054272,0.32922,1,Corona
0.80392,0.41424,0.32064,2.6507,4.0943,4.3689,1.883,0.98582,0.9255,0.35015,0.56114,0.47441,0.85838,0.89878,0.51481,0.34984,0.047425,0.18745,0.12158,0.26334,0.12545,0.21734,0.47089,0.24911,0.64893,0.26997,0.13334,0.1024,0.046956,0.13786,0.082415,0.12222,0.12057,0.17618,0.25656,0.4335,0.13671,0.44302,0.15435,0.23122,0.088053,0.13972,0.18141,0.15849,0.037571,0.35345,0.080044,0.37394,1,Corona
0.71441,0.41407,0.080734,2.4176,3.4484,3.6569,0.92843,0.45012,0.74111,0.30139,0.68851,0.534,0.75728,1.1636,0.21299,0.27183,0.1227,0.17583,0.13895,0.23119,0.1265,0.14462,0.04756,0.27493,0.2141,0.43998,0.13197,0.19504,0.30621,0.42741,0.099142,0.16555,0.42831,0.16003,0.097514,0.11138,0.57501,0.43799,0.067505,0.21439,0.26815,0.23883,0.39523,0.15271,0.099506,0.33493,0.1501,0.20001,1,Corona
